,condition_concept_id,chi2,p_value
2484,4144895,7.9678410528104076,0.004761569628473147
1932,4317982,7.9678410528104076,0.004761569628473147
2028,4053600,7.939508198736172,0.004836697778860758
44,433595,7.891358328370506,0.004967154659105359
965,434500,7.869737759710048,0.005026894279189986
3988,4312704,7.84518360507351,0.005095628274722684
3321,4265485,7.835602298319866,0.0051227081549895664
5824,4064029,7.834421703613103,0.0051260550326205885
2039,4295624,7.776846381601263,0.005292009913234697
919,433909,7.768344113672491,0.005316976814306036
428,77395,7.676512452484494,0.005594418374679541
1093,46270082,7.638976080239889,0.005712033251824365
780,320744,7.636244024372348,0.005720691598987703
1056,45771045,7.6263361790624415,0.005752203695239164
2354,195401,7.565177450984622,0.005950679515538168
2355,37016114,7.551571429330588,0.005995776548486557
634,75576,7.549878487057749,0.006001412131027648
405,436962,7.549743486445476,0.006001861762952113
2099,4110056,7.534209982277004,0.006053827717528469
1197,197494,7.512097875772131,0.006128594898740038
2168,195591,7.5106592771502205,0.006133491725715428
4409,45772085,7.5106592771502205,0.006133491725715428
1295,254443,7.508597577632045,0.006140516480076725
3795,45757309,7.455778487171396,0.006323312551812575
948,438134,7.445826691792483,0.006358370729878988
1417,4226021,7.4093456572052645,0.006488591868086927
1842,432436,7.401415951365582,0.006517255803187757
289,4056713,7.358761712500294,0.006673673704488995
2332,45773176,7.35087423176633,0.006703015342587553
2072,4013597,7.33942346099554,0.006745847156536323
2220,74052,7.298743476551923,0.006900284976969824
578,439253,7.2942201551467205,0.00691767899794566
1152,45770830,7.247556685655377,0.007099755168792368
1077,759853,7.227836868718111,0.007178164764158108
90,141095,7.226732963008315,0.007182580158388745
484,4028387,7.223044766233119,0.007197352317032466
1734,4169905,7.2142764223354465,0.007232596509311043
1539,4308394,7.197454513485959,0.007300706398041421
103,40481299,7.190979654839672,0.007327096705565673
2460,36717169,7.187076762659097,0.007343051234179348
485,381295,7.183635121549198,0.007357149683796684
1855,45772786,7.165423815591817,0.007432212900520147
1022,195321,7.165309731376318,0.007432685590926689
107,46270470,7.138078999781635,0.007546395599419725
195,78232,7.137255947157415,0.007549860052783393
5346,441800,7.126489593423216,0.007595328604858687
426,200843,7.1047746737563795,0.0076878888556693396
630,139750,7.080462855290433,0.007792887863004734
3839,199991,7.057257448951807,0.007894476314702466
2850,40490423,7.039061470309611,0.007975081179997111
1952,78581,7.031555532285298,0.008008575871285836
2133,4106682,7.023169235059381,0.008046169324186388
3285,42709954,6.996718816827408,0.008165925961002983
817,314962,6.974323895663542,0.008268745714953165
291,40304526,6.922948725629814,0.008509654403324452
1259,4286497,6.917353875068664,0.008536319870166786
2136,4212887,6.910314225796084,0.008569992879234198
3185,43021237,6.852621863408427,0.008851128857414504
1683,194913,6.818230527242928,0.009023192707604056
45,312437,6.803940083719612,0.009095693121652978
4333,200348,6.7939276280069585,0.009146844949114146
1487,40326053,6.775877066128022,0.009239807529507883
1285,43530742,6.746452888532426,0.009393425012267125
467,4331284,6.743279058715771,0.009410150472029434
2509,4055993,6.74221362780068,0.00941577191994569
466,4246451,6.735569682689286,0.009450904529308876
710,437758,6.707797456902599,0.009599221702225382
856,4040820,6.670340184281991,0.009803047531172438
1184,4275423,6.670166851901401,0.009804000966960645
559,4102183,6.664473802741513,0.009835369147304785
2930,437233,6.659385153792241,0.009863494183895566
3103,381021,6.626961252391578,0.010044647933214107
718,4084229,6.592410206986031,0.010241442560948215
2722,43530727,6.592031393570421,0.010243621961149373
3561,135893,6.586474107899114,0.010275649004066915
152,261599,6.568306539875279,0.01038106825901084
2787,4049367,6.552251024113271,0.010475154982556275
1194,376422,6.531873628869979,0.010595828840249125
661,81186,6.5258960218651145,0.010631497666433598
2298,4328217,6.5218936067687165,0.010655449185311597
1183,46269757,6.513224570692911,0.010707516943822281
370,81175,6.498252899553132,0.010798054802063901
4490,28179,6.4648646049369916,0.011002802454561924
880,4119307,6.455067491182381,0.011063634146334418
1698,437247,6.442299608019502,0.01114343005262834
1929,4280354,6.440234557519949,0.011156391447453732
110,200219,6.435469329649094,0.01118635971253713
7600,436176,6.427296396280854,0.011237951338567987
3318,442747,6.427296396280854,0.011237951338567987
297,4170137,6.420727396853234,0.01127959509834555
2311,200779,6.418840957758272,0.011291583305551106
3493,432590,6.408263364047868,0.011359045921311777
1682,137275,6.377091109608615,0.01156027500938631
421,375545,6.374939257401024,0.011574300361015576
2109,76240,6.361375929119833,0.011663106449523977
876,201603,6.35879520266057,0.011680082848370403
287,443563,6.335361391858107,0.011835399839600106
198,45766714,6.317922445576063,0.011952358599575136
2149,4241223,6.308226706255076,0.012017898292539984
2144,79061,6.298968247004396,0.012080826634451548
1606,45769876,6.29676458734582,0.012095854371214246
937,40479576,6.290781197797401,0.012136754682881884
1232,437541,6.250386160308111,0.012416623461163756
2759,81303,6.240864256702786,0.01248355428609934
4420,40480082,6.222089891621807,0.012616610144043439
4796,4001664,6.22201946553478,0.012617111994942752
900,4239938,6.22201946553478,0.012617111994942752
1763,37017431,6.215904461440667,0.012660765354482418
410,45768910,6.151962681780293,0.013126634763041812
3981,380375,6.135629125318453,0.013248439954914695
1009,4313365,6.115839450431809,0.013397577105190153
5419,4014066,6.092820886452683,0.013573221463969385
219,4094683,6.085872212823354,0.013626707712707912
4277,4328879,6.085494798377394,0.013629618996363408
839,133729,6.076256971503355,0.01370107717433681
1138,37018854,6.074111975645919,0.013717724607169414
1802,377853,6.071331332433609,0.013739336307789375
204,441284,6.0351866906570475,0.014023467697652645
1699,4177862,6.020848655380258,0.014137846715022408
4805,435656,6.003520931978258,0.014277357568331983
4949,443545,6.003520931978258,0.014277357568331983
4065,435875,6.003520931978258,0.014277357568331983
174,4109420,5.9904323122426835,0.014383676819419124
2253,40480500,5.9871135548377055,0.014410764461431856
129,35624213,5.978277185431294,0.014483143063718644
566,316127,5.975527967905351,0.014505738109506032
371,140173,5.95373201525155,0.014686162095306713
3190,435226,5.95373201525155,0.014686162095306713
1589,138387,5.929767052663253,0.01488720966449833
6868,37208032,5.9262818697332476,0.014916682815739732
5467,432962,5.9262818697332476,0.014916682815739732
1507,4307820,5.9262818697332476,0.014916682815739732
1804,318448,5.906391993879635,0.015086039364805414
1005,4152347,5.8911211473085014,0.015217409223198365
1692,4187244,5.8874463113213045,0.01524919809842358
4711,4058155,5.8874463113213045,0.01524919809842358
3702,4117866,5.874962145442011,0.01535770321061049
6732,4220669,5.874962145442011,0.01535770321061049
2877,133726,5.855316933410533,0.015530061127509376
2041,4044404,5.843588940078524,0.01563390586048037
1990,4141190,5.843588940078524,0.01563390586048037
55,380706,5.831430033968999,0.015742321677925695
