,condition_concept_id,chi2,p_value,p_adj
1407,77079,77.86403686955266,1.1038292467439905e-18,4.02542365218184e-17
743,759853,76.6437127058006,2.0475690808654595e-18,7.435125846202483e-17
1546,30753,76.51920094440099,2.1808225649939e-18,7.885297589256668e-17
177,200962,76.17209605174129,2.5998970208775627e-18,9.360730926439259e-17
305,4109420,76.06290264620598,2.747710701806759e-18,9.851180520359508e-17
324,438398,75.77700456534713,3.1757804339277442e-18,1.1338069893732792e-16
1103,4180628,75.19249792714245,4.269864322133607e-18,1.5180350269945296e-16
554,77074,75.01172147614318,4.67927747316826e-18,1.6566591953962796e-16
1288,40326053,74.79269482431428,5.228280565012462e-18,1.8433485460958876e-16
24,4192174,74.684575529565,5.5225916318999674e-18,1.9390686403410754e-16
401,194406,74.42300625419375,6.3049934970325064e-18,2.2046720059376628e-16
294,36713926,74.14143097898013,7.271604626026877e-18,2.5322469060389496e-16
947,4201745,73.90471100121621,8.198042402101932e-18,2.8432149506391887e-16
1540,4320944,73.78695341013193,8.701985763857034e-18,3.0057224811176105e-16
1319,439254,73.61695599879971,9.484642094366627e-18,3.2627936791835317e-16
110,380706,73.54702316729893,9.826701968451287e-18,3.366834138142362e-16
195,435613,73.46141989016124,1.026225343767191e-17,3.501942468269005e-16
283,443612,73.16362705559155,1.1933479879112181e-17,4.055951141312648e-16
889,443601,73.00173780633244,1.2953573076382155e-17,4.37872217487658e-16
1396,4119307,72.99677186186074,1.2986206756136263e-17,4.37872217487658e-16
548,4170770,72.8699399923974,1.384813905473126e-17,4.648693012575548e-16
1094,319034,72.8630890687018,1.3896293105733663e-17,4.648693012575548e-16
576,4001450,72.84839827423652,1.4000117816200087e-17,4.665058866049104e-16
184,4224741,72.61433591047167,1.576298604605938e-17,5.231956735678381e-16
11,257012,72.38314178932134,1.7722142407711774e-17,5.859340234954356e-16
474,4271013,71.2123583466601,3.207725870009854e-17,1.0564359192819275e-15
169,137548,71.06881093862934,3.449806990944208e-17,1.1317764479557118e-15
560,4115171,70.93846661052453,3.6854186136932734e-17,1.2044231523289132e-15
710,438134,70.7459122851472,4.063255132189615e-17,1.3228152819239526e-15
993,4115027,70.57631483460725,4.4280151009180197e-17,1.4360627600190997e-15
419,42537730,70.09070148680684,5.66393281123801e-17,1.8299025512201284e-15
861,80813,70.02513765630972,5.855350398589005e-17,1.884580012757984e-15
927,36684613,69.61606262332513,7.204777667563084e-17,2.3101507864635292e-15
46,257007,69.59219051428386,7.292506423708973e-17,2.329489739934404e-15
612,27674,69.48844108013387,7.686364619899556e-17,2.4461063736062367e-15
126,137682,69.16914524931721,9.037083715066021e-17,2.865227624138656e-15
867,259848,68.67063458800484,1.1636077578271865e-16,3.675529783738886e-15
143,201340,68.0100268512441,1.6266624756460633e-16,5.119167057616518e-15
1180,4329041,67.73739922548543,1.867867260208543e-16,5.856556498152025e-15
229,36713107,67.59664713493126,2.0060842163745838e-16,6.266800583284868e-15
475,73840,67.4975051803663,2.109538589610755e-16,6.565842269568712e-15
1086,437390,67.28298708248956,2.352023067367789e-16,7.293846716578139e-15
131,255573,67.16036667216818,2.502956893288433e-16,7.73368171718975e-15
173,72418,66.65124305408376,3.2405184558858694e-16,9.976335260747186e-15
188,376208,66.18298924865918,4.1094385328047144e-16,1.2605739788173884e-14
75,372892,66.0523827498517,4.390967113495264e-16,1.342088041847815e-14
969,443919,65.96118358638799,4.598915032871208e-16,1.4006086392224605e-14
2002,197675,65.57747268558589,5.587379196856302e-16,1.6955700369888572e-14
453,434894,65.47461651745508,5.886731764524342e-16,1.7800555090093713e-14
23,4041283,65.28982271133825,6.465438260981769e-16,1.948114500126315e-14
644,4000609,65.27322684653151,6.520116321769575e-16,1.957647646151098e-14
240,441417,65.19272155453763,6.791992262918958e-16,2.032097121761352e-14
1328,4158911,65.17079723375481,6.867978721476842e-16,2.047621585838201e-14
925,374313,65.1587644116835,6.910043577225666e-16,2.0529594501988282e-14
1119,437541,64.91076350048462,7.836783677395987e-16,2.3201794741057036e-14
145,4033839,64.839125386925,8.126934939073525e-16,2.39772799226763e-14
891,4112752,64.63773223199463,9.00149927561936e-16,2.6465653752573603e-14
565,79864,64.47912921768715,9.756030657914097e-16,2.8585169827688304e-14
1491,759852,64.05890291826017,1.2075437619702695e-15,3.525944792254769e-14
78,435524,63.42765823653414,1.6636563178225135e-15,4.8411259358006504e-14
136,4089462,63.279581687926346,1.7935384014818967e-15,5.201261364297501e-14
532,4208390,63.15144975550875,1.9140856911074644e-15,5.531968067122491e-14
1581,4213271,62.92269552917131,2.1498071731950194e-15,6.192173406995959e-14
519,438120,62.8726567640947,2.2051236112713842e-15,6.330045717896268e-14
108,197381,62.81315875457878,2.2727532192201967e-15,6.502216869937377e-14
303,374366,62.28304792271356,2.9747477600949655e-15,8.482024066284202e-14
1592,133141,62.1698238519066,3.1507922363518738e-15,8.953940345244772e-14
595,81175,62.03641448214363,3.3716445122937445e-15,9.549621140319983e-14
216,439407,61.76749789374176,3.865016401351968e-15,1.0910645967537432e-13
1325,37119138,61.66585082950098,4.06977699568696e-15,1.1450627527268907e-13
47,257011,60.9296789929411,5.91503523345865e-15,1.658747669263965e-13
296,443563,60.63989593968989,6.853092466885764e-15,1.9154844306292218e-13
945,4155034,60.30749425307407,8.113789293773204e-15,2.2604218894816693e-13
1167,435243,60.30043567158838,8.142937725115042e-15,2.261128818637337e-13
667,0,60.21225167805778,8.51604699373488e-15,2.357030987158478e-13
1427,374367,60.18883854873824,8.617950612547931e-15,2.377491115416226e-13
1058,4035439,60.07894966501031,9.112775414806434e-15,2.5058657831589085e-13
653,314059,59.946405129193906,9.747587611009276e-15,2.6717823203466393e-13
