condition_concept_id,,chi2,p_value,p_adj,,,Article Mentions
4317977,,377.9854971264053,3.416277990785983e-84,1.6285303156077034e-82,,,
4111409,,376.0752080051955,8.901468739333659e-84,4.223929823705725e-82,,,
4155034,,372.96459640305505,4.23366451701649e-83,1.9998291664016077e-81,,,
4125590,,372.3901019605127,5.646759495967912e-83,2.6552545105021966e-81,,,
37016349,,372.04226173872286,6.722544502409202e-83,3.1468775886953343e-81,,,
199075,,370.3918399539834,1.5377244611633532e-82,7.1659339015289525e-81,,,
4053604,,368.7957273324253,3.422967158313139e-82,1.5880122638031313e-80,,,
380394,,364.99941460487287,2.2961292918668687e-81,1.0605055822702443e-79,,,
135930,,363.4787418,4.921618029340006e-81,2.2630732106593515e-79,,,
4103703,,360.4068906666149,2.296068419745291e-80,1.0511340536560822e-78,,,
72418,,357.0756191321324,1.2200190257858935e-79,5.560718296476757e-78,,,
40481043,,356.01620068164505,2.0751908590806167e-79,9.417197994570204e-78,,,
73840,,352.53363650708957,1.1896246751296924e-78,5.375034619107723e-77,,,
42537730,,352.5196450530268,1.1979997833729464e-78,5.389443181303749e-77,,,
4232697,,352.4290702143803,1.2536615426362348e-78,5.615539116842997e-77,,,
257004,,351.9372225973439,1.604298654608527e-78,7.155309707593053e-77,,,
4044053,,351.0411258029448,2.5143206458313777e-78,1.1166162457897297e-76,,,
43530727,,348.6971341902324,8.144390400624435e-78,3.60155340609741e-76,,,
4043738,,348.14965236278215,1.0717217059784211e-77,4.719208461240573e-76,,,
379010,,346.7712151911711,2.1392543775649232e-77,9.380224258082144e-76,,,
4168212,,340.3950945198013,5.233909270537781e-76,2.2853271066986816e-74,,,
4108356,,340.2181121337385,5.719653289511935e-76,2.4869722587702107e-74,,,
432590,,340.1965673761243,5.781782634046307e-76,2.5035118805420507e-74,,,
4310235,,337.62318958170977,2.1013717426374012e-75,9.061184709331068e-74,,,
75576,,337.26065756932877,2.520331367079541e-75,1.08228444490457e-73,,,
320420,,336.88948862215386,3.035943396224603e-75,1.2983343116693858e-73,,,
4329041,,335.0359899630147,7.690715774568184e-75,3.275488456119367e-73,,,
437541,,334.80025445124164,8.655816068663668e-75,3.6714792075735855e-73,,,
136834,,330.5899077804328,7.149982826491766e-74,3.02043176963018e-72,,,
46269757,,326.65754363500696,5.137950238785445e-73,2.161683355524629e-71,,,
4195572,,324.21924757229806,1.7453247898578978e-72,7.31347387750132e-71,,,
200485,,323.88131062826193,2.0676803880648027e-72,8.629451643682503e-71,,,
436230,,323.0222767066671,3.181218134788026e-72,1.3223687542686867e-70,,,
432870,,322.5426694219728,4.0463135017023843e-72,1.6752705143303257e-70,,,
